1,fuzzwich.com,62.116.143.21,0,INTERNETX-AS InterNetX GmbH,INTERNETX-AS
2,peekyou.com,64.147.124.21,0,The New York Internet Company,NYIC
3,headr.com,46.137.94.255,1,"""""""""""""""""""""""""""""""AMAZON-02 - Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZON-02
4,pinger.com,199.87.160.46,0,"""""""""""""""""""""""""""""""Pinger""""""""""""""",""""""""""""""" Inc""""""""""""""""""""""""""""""",PINGE
5,pickpackgo.com,72.232.172.70,0,"""""""""""""""""""""""""""""""Layered Technologies""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",LAYER-3
6,widgetbox.com,216.146.46.10,0,"""""""""""""""""""""""""""""""Dynamic Network Services""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",DNS-33
7,palabea.com,62.116.130.8,0,INTERNETX-AS InterNetX GmbH,INTERNETX-AS
8,hurdan.com,184.168.221.3,0,"""""""""""""""""""""""""""""""GoDaddy.com""""""""""""""",""""""""""""""" LLC""""""""""""""""""""""""""""""",GODAD
9,mobiluck.com,87.98.144.227,0,OVH OVH Systems,OVH
10,skydeck.com,176.32.101.84,1,"""""""""""""""""""""""""""""""AMAZON-02 - Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZON-02
11,simplicant.com,184.173.119.82,0,"""""""""""""""""""""""""""""""ThePlanet.com Internet Services""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",TPCM
12,springleap.com,144.76.5.132,0,HETZNER-AS Hetzner Online AG,HETZNER-AS
13,jumbuck.com,64.207.139.165,0,"""""""""""""""""""""""""""""""Media Temple""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",MEDIAT-10
14,carfeine.com,209.59.133.15,0,"""""""""""""""""""""""""""""""Liquid Web""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",LQWB
15,blingeasy.com,174.127.101.47,0,"""""""""""""""""""""""""""""""Hosting Services""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",HOSTI-20
16,foodcare.com,184.168.221.22,0,"""""""""""""""""""""""""""""""GoDaddy.com""""""""""""""",""""""""""""""" LLC""""""""""""""""""""""""""""""",GODAD
17,apkbr.com,,0,,
18,non-memberfilms.com,198.185.159.135,0,"""""""""""""""SQUARESPACE - Squarespace""""""",""""""" Inc.""""""""""""""",SQUARESPACE
19,funkarachi.com,69.73.150.103,0,Landis Holdings Inc,LANDI-3
20,fundable.com,162.242.223.242,2,RACKSPACE - Rackspace Hosting,RACKSPACE
21,navara.com,178.21.117.105,0,COMPUKOS-AS DirectVPS B.V.,COMPUKOS-AS
22,atmosa.org,205.178.189.129,0,"""""""""""""""""""""""""""""""Network Solutions""""""""""""""",""""""""""""""" LLC""""""""""""""""""""""""""""""",NETWO-59
23,pricehub.com,192.241.208.224,0,"""""""""""""""""""""""""""""""Digital Ocean""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",DO-13
24,getvoip.com,50.63.86.124,0,"""""""""""""""""""""""""""""""GoDaddy.com""""""""""""""",""""""""""""""" LLC""""""""""""""""""""""""""""""",GODAD
25,ptch.com,54.213.184.14,1,"""""""""""""""""""""""""""""""Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZO-47
26,happier.com,192.31.186.15,0,Black Lotus Communications,BLC-92
27,loveaccess.com,209.59.1.5,0,"""""""""""""""""""""""""""""""Windstream Hosted Solutions""""""""""""""",""""""""""""""" LLC""""""""""""""""""""""""""""""",WHSL
28,newstree.com,89.31.143.1,0,QSC-AG-IPX QSC AG,QSC-AG-IPX
29,youneedfat.com,50.116.57.191,0,Linode,LINOD
30,yoxel.com,50.62.248.1,0,"""""""""""""""""""""""""""""""GoDaddy.com""""""""""""""",""""""""""""""" LLC""""""""""""""""""""""""""""""",GODAD
31,revzitv.com,,0,,
32,snapcomms.com,198.50.158.58,0,"""""""""""""""""""""""""""""""OVH Hosting""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",HO-2
33,topify.com,23.23.101.180,1,"""""""""""""""""""""""""""""""Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZO-4
34,pict.com,54.245.91.1,1,"""""""""""""""""""""""""""""""Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZO-47
35,ripcloud.com,50.112.127.228,1,"""""""""""""""""""""""""""""""Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZO-47
36,pluginseo.com,108.59.2.80,0,"""""""""""""""LEASEWEB-US - Leaseweb USA""""""",""""""" Inc.""""""""""""""",LEASEWEB-US
37,dijit.com,96.126.99.10,0,Linode,LINOD
38,veewow.com,,0,,
39,insigniatechnologies.com,83.223.122.238,0,GYRON ====,GYRON
40,easel.io,50.17.219.101,1,"""""""""""""""""""""""""""""""Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZO-4
41,redambiental.com.mx,50.22.37.134,3,SoftLayer Technologies Inc.,SOFTL
42,yasmolive.com,64.62.211.172,0,"""""""""""""""""""""""""""""""Hurricane Electric""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",HURC
43,docasap.com,198.101.165.144,2,RACKSPACE - Rackspace Hosting,RACKSPACE
44,hola.org,107.22.193.119,1,"""""""""""""""""""""""""""""""Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZO-4
45,aveopharma.com,70.32.68.78,0,"""""""""""""""""""""""""""""""Media Temple""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",MEDIAT-10
46,jmdianco91.com,,0,,
47,kiteedu.com,69.194.56.221,0,PEAK-WEB-HOSTING - Peak Web Hosting Inc.,PEAK-WEB-HOSTING
48,meronymy.com,216.104.165.24,0,TierraNet Inc.,TIER
49,ginio.com,192.254.225.237,0,WEBSITEWELCOME.COM,BO
50,opscotch.com,121.83.203.210,0,K-OPTICOM K-Opticom Corporation,K-OPTICOM
51,deskconnect.com,198.61.180.96,2,RACKSPACE - Rackspace Hosting,RACKSPACE
52,joincube.com,168.62.48.183,4,Microsoft Corp,MSFT-Z
53,surflinks.co.uk,64.131.73.36,0,ServInt,SRVN
54,mvp-interactive.com,184.73.242.186,1,"""""""""""""""""""""""""""""""Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZO-4
55,thezoen.com,199.34.228.100,0,"""""""""""""""""""""""""""""""Weebly""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",WEEBL-1
56,padmapper.com,204.13.81.114,0,"""""""""""""""UWH - Unified Webhosting""""""",""""""" LLC""""""""""""""",UWH
57,faxo.com,107.22.188.214,1,"""""""""""""""AMAZON-AES - Amazon.com""""""",""""""" Inc.""""""""""""""",AMAZON-AES
58,sysnucleus.com,202.88.238.203,0,ASIANET Cable ISP in India,ASIANET
59,simpletix.com,137.117.97.72,4,Microsoft Corp,MSFT-Z
60,noisetrend.com,50.63.125.1,0,"""""""""""""""""""""""""""""""GoDaddy.com""""""""""""""",""""""""""""""" LLC""""""""""""""""""""""""""""""",GODAD
61,equateplatforms.com,205.186.175.102,0,"""""""""""""""""""""""""""""""Media Temple""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",MEDIAT-10
62,sumoing.com,188.165.143.3,0,OVH OVH Systems,OVH
63,smsmaza.net,208.91.197.104,0,Confluence Networks Inc,CN
64,nimli.com,69.160.54.111,0,NEXCESS.NET L.L.C.,NEXCE
65,fashionism.com,209.114.36.125,2,Rackspace Hosting,RACKS-8
66,edx.org,54.235.131.26,1,"""""""""""""""""""""""""""""""Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZO-4
67,kaption.it,,0,,
68,spire.io,54.213.96.40,1,"""""""""""""""""""""""""""""""Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZO-47
69,cfo.com,23.21.220.160,1,"""""""""""""""""""""""""""""""Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZO-4
70,managemypass.com,69.195.124.107,0,Unified Layer,BLUEH-2
71,sharpcloud.com,216.146.38.125,0,"""""""""""""""""""""""""""""""Dynamic Network Services""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",DNS-33
72,joinants.com,84.49.73.141,0,NEXTGENTEL NEXTGENTEL Autonomous System,NEXTGENTEL
73,whatser.com,54.228.180.1,1,"""""""""""""""""""""""""""""""Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZO-4
74,lyfft.com,67.225.164.210,0,"""""""""""""""""""""""""""""""Liquid Web""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",LQWB
75,amplify.com,107.23.90.90,1,"""""""""""""""""""""""""""""""Amazon.com""""""""""""""",""""""""""""""" Inc.""""""""""""""""""""""""""""""",AMAZO-4
76,ratezar.com,208.91.197.27,0,Confluence Networks Inc,CN
77,everfans.com,68.71.146.104,0,WeHostWebSites.com,WEHOST-1
