82,spread.cm,192.31.186.13,0,Black Lotus Communications,BLC-92
83,boltventures.com.br,65.39.205.61,0,PEER1 - Peer 1 Network (USA) Inc.,PEER1
84,warkingdoms.com,95.211.219.141,0,FIBERRING LeaseWeb B.V.,FIBERRING
85,solvebio.com,54.208.192.129,1,"Amazon.com, Inc.",AMAZO-4
86,tripobox.com,23.21.212.214,1,"Amazon.com, Inc.",AMAZO-4
87,legendary.com,108.162.205.242,0,"CloudFlare, Inc.",CLOUD14
88,cipherapps.com,78.153.217.214,0,BLACKNIGHT-AS Blacknight Internet Solutions Ltd,BLACKNIGHT-AS
89,colibri.io,46.4.66.166,0,HETZNER-AS Hetzner Online AG,HETZNER-AS
90,lifebts.com,195.64.155.80,0,UKRNAMES-AS Ukrainian Internet Names Center LTD,UKRNAMES-AS
91,assemblagehq.com,94.247.174.110,0,GLESYS-AS GleSYS Internet Services AB,GLESYS-AS
92,co.nr,208.100.40.200,0,Steadfast Networks,NOZON
93,keelvar.com,78.153.209.105,0,BLACKNIGHT-AS Blacknight Internet Solutions Ltd,BLACKNIGHT-AS
94,deepclass.com,65.39.205.57,0,PEER1 - Peer 1 Network (USA) Inc.,PEER1
95,nanowe.com,108.162.203.48,0,"CloudFlare, Inc.",CLOUD14
96,mywindow.me,50.17.213.252,1,"Amazon.com, Inc.",AMAZO-4
97,miigle.com,162.242.198.109,2,RACKSPACE - Rackspace Hosting,RACKSPACE
98,ninebricks.com,108.162.198.178,0,"CloudFlare, Inc.",CLOUD14
99,jolicharts.com,37.59.66.1,0,OVH OVH Systems,OVH
100,qikout.com,,0,,
101,netacloud.com,91.232.208.20,0,RIPE Network Coordination Centre,RIPE
102,asanteegames.com,69.163.132.106,0,"New Dream Network, LLC",NDN
103,dealingers.com,85.25.226.133,0,PLUSSERVER-AS intergenia AG,PLUSSERVER-AS
104,numibase.com,91.121.30.168,0,OVH OVH Systems,OVH
105,bloggabase.com,91.146.106.132,0,UKWEB-EQX UK Webhosting Ltd,UKWEB-EQX
106,webpodologue.fr,213.186.33.87,0,OVH OVH Systems,OVH
107,migo.me,54.200.128.45,1,"Amazon.com, Inc.",AMAZO-47
108,tasker.pt,,0,,
109,velo-labs.com,54.236.190.114,1,"Amazon.com, Inc.",AMAZO-4
110,clickthroo.com,37.148.207.1,0,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC",AS-26496-GO-DADDY-COM-LLC
111,tamatura.com,74.208.242.181,0,1&1 Internet Inc.,11INT
112,trubalance.co,54.245.99.143,1,"Amazon.com, Inc.",AMAZO-47
113,tradecrowd.com,54.229.240.97,1,"Amazon.com, Inc.",AMAZO-4
114,pathjump.com,64.191.93.88,0,NOC - Network Operations Center Inc.,NOC
115,tuckerblair.com,207.32.187.100,0,NEXCESS.NET L.L.C.,NEXCE
116,cloudbill.com,50.16.194.7,1,"Amazon.com, Inc.",AMAZO-4
117,mevoked.com,54.243.46.156,1,"Amazon.com, Inc.",AMAZO-4
118,inbetweenjobs.com,137.117.84.54,4,Microsoft Corp,MSFT-Z
119,brokenarmsgames.com,108.162.198.101,0,"CloudFlare, Inc.",CLOUD14
120,rarecrowds.com,216.185.152.146,0,"HWSERVICES-32400 - Hostway Services, Inc.",HWSERVICES-32400
121,exelmart.com,69.16.244.128,0,"Liquid Web, Inc.",LQWB
122,cookisto.com,198.107.197.21,0,"NTT America, Inc.",NTTAM-1
123,zesty.co.uk,178.79.184.7,0,TELECITY-LON TELECITYGROUP INTERNATIONAL LIMITED,TELECITY-LON
124,ukpaidsurveys.com,94.229.79.19,0,UKSERVERS-AS UK Dedicated Servers Limited,UKSERVERS-AS
125,piethis.com,205.251.243.164,1,"Amazon.com, Inc.",AMAZON-4
126,yayplanner.com,54.200.147.30,1,"Amazon.com, Inc.",AMAZO-47
127,aircus.com,46.137.75.231,1,"AMAZON-02 - Amazon.com, Inc.",AMAZON-02
128,conceptinbox.com,81.45.19.111,0,TELEFONICA-DATA-ESPANA TELEFONICA DE ESPANA,TELEFONICA-DATA-ESPANA
129,fannabee.com,109.168.113.200,0,KPNQwest Italia S.p.a,KPNQwest
130,mentorsguild.com,23.21.195.189,1,"Amazon.com, Inc.",AMAZO-4
131,hstinc.co,54.243.190.39,1,"Amazon.com, Inc.",AMAZO-4
132,mila.com,216.146.46.10,0,"Dynamic Network Services, Inc.",DNS-33
133,moldovacompanyformation.com,,0,,
134,shopkrowd.com,176.53.65.111,0,RADORE Radore Veri Merkezi Hizmetleri A.S.,RADORE
135,boostup.com,137.117.17.70,4,Microsoft Corp,MSFT-Z
136,portfoleo.com,108.166.113.39,2,RACKSPACE - Rackspace Hosting,RACKSPACE
137,mgadget.net,208.52.168.125,0,BroadRiver Communication Corp.,BDRV
138,monkeyparking.it,149.3.144.247,0,COLTENGINE COLT Engine S.r.l.,COLTENGINE
139,travailleusesocialemontreal.com,66.96.160.138,0,"The Endurance International Group, Inc.",EIG-12
140,seejay.it,217.194.7.130,0,SEEWEB Seeweb s.r.l.,SEEWEB
141,50i50.org,23.21.167.30,1,"Amazon.com, Inc.",AMAZO-4
142,functionspace.org,182.50.141.129,0,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC",AS-26496-GO-DADDY-COM-LLC
143,streetloop.com,192.241.213.11,0,"Digital Ocean, Inc.",DO-13
144,searchub.com,50.112.111.189,1,"Amazon.com, Inc.",AMAZO-47
145,celrx.com,213.186.33.17,0,OVH OVH Systems,OVH
146,showroom.is,174.129.237.177,1,"Amazon.com, Inc.",AMAZO-4
147,sidespur.com,75.101.102.224,0,"SONIC.NET, INC.",SNIC
148,intellimentsec.com,23.251.130.233,5,Google Inc.,GOOGL-2
149,getprowl.com,173.201.198.128,0,"GoDaddy.com, LLC",GODAD
150,notorious.im,205.251.242.186,1,"Amazon.com, Inc.",AMAZON-4
151,cosemble.com,54.225.141.98,1,Amazon Technologies Inc.,AT-88-Z
152,ondivvy.com,50.62.117.1,0,"GoDaddy.com, LLC",GODAD
153,crowdpartnership.com,70.32.68.100,0,"Media Temple, Inc.",MEDIAT-10
154,pricerhythm.com,173.192.205.162,3,SoftLayer Technologies Inc.,SOFTL
155,cachorrogato.com.br,54.232.239.62,1,"Amazon.com, Inc.",AMAZO-4
156,jumalabs.com,192.241.252.244,0,"Digital Ocean, Inc.",DO-13
