70,redlightcenter.com,199.122.7.17,0,Utherverse Digital Inc.,UD
71,outdoorzy.com,207.58.151.102,0,ServInt,SRVN
72,aniboom.com,38.96.190.59,0,"PSINet, Inc.",PSI
73,zwinky.com,74.113.233.199,0,"Mindspark Interactive Network, Inc.",IWONCO
74,pickle.com,127.0.0.1,0,Internet Assigned Numbers Authority,IANA
75,pringo.com,75.101.143.60,1,"Amazon.com, Inc.",AMAZO-4
76,hireahelper.com,67.201.34.18,0,"ZEROLAG - Zerolag Communications, Inc.",ZEROLAG
77,sportingo.com,46.38.178.55,2,Rackspace Ltd.,Rackspace
78,weebly.com,74.115.50.110,0,"Weebly, Inc.",WEEBL-1
79,kongregate.com,75.98.92.205,0,INTERNAP-2BLK - Internap Network Services Corporation,INTERNAP-2BLK
80,sleep.fm,192.34.58.81,0,"Digital Ocean, Inc.",DO-13
81,villij.com,108.168.250.148,3,SoftLayer Technologies Inc.,SOFTL
82,digitalsmiths.com,74.213.154.2,0,"Windstream Hosted Solutions, LLC",WHSL
83,ho.st,54.235.159.97,1,"Amazon.com, Inc.",AMAZO-4
84,affinity.com,216.36.248.195,0,Hostway Corporation,HSWY
85,vlingo.com,63.116.58.153,0,VLINGO - Vlingo Corporation,VLINGO
86,lendingclub.com,216.115.73.156,0,Lending Club,LENDI-8
87,tubemogul.com,209.59.169.43,0,"Liquid Web, Inc.",LQWB
88,crowdstorm.com,108.162.196.213,0,"CloudFlare, Inc.",CLOUD14
89,mulesoft.com,50.17.254.5,1,"Amazon.com, Inc.",AMAZO-4
90,ramped.com,98.124.198.1,0,"eNom, Incorporated",ENOM
91,yapinc.com,64.73.203.49,0,"CYBERCON - CYBERCON, INC.",CYBERCON
92,tizra.com,69.93.216.170,0,"ThePlanet.com Internet Services, Inc.",TPCM
93,minglebox.com,125.63.126.2,0,Asia Pacific Network Information Centre,APNIC
94,testfreaksdata.com,217.70.33.88,0,INTERNETBORDER Internet Border Technolgies AB,INTERNETBORDER
95,quattrowireless.com,69.43.161.177,0,Trellian Pty Ltd,TRELL-4
96,videojug.com,209.235.198.48,0,"INETu, Inc.",INU
